game_id,url,date,home_team,away_team
1570521,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570521,,IBK Göteborg,Fristads GoIF
1570522,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570522,,IBK Kungälv,Fagerhult Habo IBK
1570523,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570523,,Särö IBK,Pixbo IBF
1570524,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570524,,FBC Partille,IBK Lidköping
1570525,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570525,,IBF Backadalen,Mullsjö AIS Utveckling
1570526,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570526,,Floda IBK,IBK Alingsås
1570527,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570527,,Pixbo IBF,IBK Göteborg
1570528,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570528,,IBK Lidköping,IBK Kungälv
1570529,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570529,,Mullsjö AIS Utveckling,Särö IBK
1570530,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570530,,IBK Alingsås,FBC Partille
1570531,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570531,,Fristads GoIF,IBF Backadalen
1570532,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570532,,Fagerhult Habo IBK,Floda IBK
1570533,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570533,,IBK Göteborg,Fagerhult Habo IBK
1570534,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570534,,IBK Kungälv,Fristads GoIF
1570535,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570535,,Särö IBK,IBK Lidköping
1570536,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570536,,FBC Partille,Pixbo IBF
1570537,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570537,,IBF Backadalen,IBK Alingsås
1570538,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570538,,Floda IBK,Mullsjö AIS Utveckling
1570539,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570539,,Mullsjö AIS Utveckling,IBK Göteborg
1570540,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570540,,IBK Alingsås,IBK Kungälv
1570541,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570541,,Fristads GoIF,Särö IBK
1570542,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570542,,Fagerhult Habo IBK,FBC Partille
1570543,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570543,,Pixbo IBF,IBF Backadalen
1570544,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570544,,IBK Lidköping,Floda IBK
1570545,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570545,,IBK Göteborg,IBK Alingsås
1570546,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570546,,Mullsjö AIS Utveckling,IBK Kungälv
1570547,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570547,,Särö IBK,Fagerhult Habo IBK
1570548,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570548,,FBC Partille,Fristads GoIF
1570549,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570549,,IBF Backadalen,IBK Lidköping
1570550,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570550,,Floda IBK,Pixbo IBF
1570551,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570551,,Pixbo IBF,IBK Kungälv
1570552,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570552,,IBK Alingsås,Särö IBK
1570553,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570553,,IBK Lidköping,IBK Göteborg
1570554,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570554,,Mullsjö AIS Utveckling,FBC Partille
1570555,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570555,,IBF Backadalen,Fagerhult Habo IBK
1570556,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570556,,Fristads GoIF,Floda IBK
1570557,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570557,,IBK Göteborg,Särö IBK
1570558,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570558,,IBK Kungälv,IBF Backadalen
1570559,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570559,,Floda IBK,FBC Partille
1570560,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570560,,Fristads GoIF,Pixbo IBF
1570561,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570561,,Fagerhult Habo IBK,Mullsjö AIS Utveckling
1570562,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570562,,IBK Lidköping,IBK Alingsås
1570563,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570563,,FBC Partille,IBK Kungälv
1570564,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570564,,IBF Backadalen,IBK Göteborg
1570565,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570565,,Särö IBK,Floda IBK
1570566,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570566,,Mullsjö AIS Utveckling,Fristads GoIF
1570567,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570567,,Fagerhult Habo IBK,IBK Lidköping
1570568,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570568,,Pixbo IBF,IBK Alingsås
1570569,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570569,,Särö IBK,IBF Backadalen
1570570,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570570,,IBK Göteborg,FBC Partille
1570571,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570571,,IBK Kungälv,Floda IBK
1570572,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570572,,Fristads GoIF,IBK Lidköping
1570573,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570573,,Pixbo IBF,Mullsjö AIS Utveckling
1570574,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570574,,IBK Alingsås,Fagerhult Habo IBK
1570575,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570575,,IBK Kungälv,IBK Göteborg
1570576,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570576,,FBC Partille,Särö IBK
1570577,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570577,,Floda IBK,IBF Backadalen
1570578,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570578,,Fagerhult Habo IBK,Fristads GoIF
1570579,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570579,,IBK Lidköping,Pixbo IBF
1570580,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570580,,IBK Alingsås,Mullsjö AIS Utveckling
1570581,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570581,,IBK Göteborg,Floda IBK
1570582,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570582,,Särö IBK,IBK Kungälv
1570583,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570583,,IBF Backadalen,FBC Partille
1570584,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570584,,Fristads GoIF,IBK Alingsås
1570585,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570585,,Pixbo IBF,Fagerhult Habo IBK
1570586,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570586,,Mullsjö AIS Utveckling,IBK Lidköping
1570587,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570587,,Fristads GoIF,IBK Göteborg
1570588,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570588,,Fagerhult Habo IBK,IBK Kungälv
1570589,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570589,,Pixbo IBF,Särö IBK
1570590,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570590,,IBK Lidköping,FBC Partille
1570591,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570591,,Mullsjö AIS Utveckling,IBF Backadalen
1570592,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570592,,IBK Alingsås,Floda IBK
1570593,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570593,,IBK Göteborg,Pixbo IBF
1570594,http://statistik.innebandy.se/ft.aspx?scr=result&fmid=1570594,,IBK Kungälv,IBK Lidköping
